net,length_um
u_window.window_reg\[45\],5.94
net126,5.92
rst_n,5.87
_0001_,5.84
_0565_,5.82
_0630_,5.8
_0618_,5.74
_0510_,5.72
_0555_,5.72
net127,5.72
net106,5.685
THRESHOLD[3],5.63
_0559_,5.6
_0562_,5.6
_0581_,5.6
u_window.window_reg\[27\],5.6
net84,5.6
net96,5.5
_0331_,5.48
_0453_,5.48
_0580_,5.48
_0608_,5.38
_0639_,5.36
_0169_,5.34
_0480_,5.34
_0514_,5.34
net98,5.34
STABLE_CYCLES[1],5.29
_0015_,5.26
_0435_,5.26
_0438_,5.26
_0548_,5.26
u_window.window_reg\[42\],5.26
_0035_,5.22
_0186_,5.22
_0449_,5.22
_0417_,5.17
_0659_,5.16
net77,5.14
u_window.window_reg\[6\],5.12
_0068_,5.1
STABLE_CYCLES[5],5.07
net116,5.06
net124,5.025
net76,5
u_window.window_reg\[53\],4.94
_0003_,4.9
_0537_,4.9
_0329_,4.88
_0484_,4.88
_0680_,4.88
_0033_,4.8
_0485_,4.8
net113,4.765
_0297_,4.76
_0347_,4.68
net114,4.68
_0045_,4.6
_0611_,4.6
net95,4.6
_0116_,4.58
net97,4.56
_0002_,4.54
u_window.window_reg\[51\],4.48
_0009_,4.46
_0579_,4.46
net131,4.46
_0137_,4.42
_0614_,4.42
WINDOW_SIZE[5],4.39
_0189_,4.36
_0005_,4.34
_0571_,4.34
_0670_,4.34
_0416_,4.27
_0058_,4.24
_0552_,4.22
_0656_,4.22
net123,4.22
net86,4.12
_0620_,4.1
_0642_,4.1
_0287_,4.03
_0049_,4.02
_0154_,4.02
_0302_,4
u_edge.signal_d,4
net71,4
net101,4
_0129_,3.9
_0221_,3.88
_0236_,3.88
_0030_,3.84
net91,3.79
_0536_,3.78
_0020_,3.76
_0025_,3.76
net80,3.76
net65,3.66
net73,3.66
net108,3.66
_0027_,3.54
_0109_,3.54
_0283_,3.54
_0645_,3.54
net25,3.54
net58,3.54
net67,3.54
net94,3.54
_0204_,3.52
_0526_,3.47
_0056_,3.42
_0088_,3.42
_0434_,3.42
_0564_,3.42
_0657_,3.42
_0600_,3.37
_0273_,3.3
_0060_,3.22
_0470_,3.22
u_glitch.cnt\[5\],3.22
_0242_,3.18
_0539_,3.1
_0136_,3.08
u_sync.meta,3.08
net102,3.08
_0059_,2.96
_0293_,2.96
net104,2.96
_0692_,2.86
u_window.window_reg\[55\],2.84
_0318_,2.76
net120,2.74
_0213_,2.72
_0674_,2.64
_0252_,2.62
_0366_,2.62
_0441_,2.62
_0476_,2.62
_0487_,2.62
net82,2.62
net133,2.62
net49,2.54
_0139_,2.5
_0431_,2.5
net103,2.465
_0262_,2.38
_0528_,2.38
net89,2.31
net115,2.31
_0658_,2.3
net69,2.3
net70,2.3
_0328_,2.28
net92,2.28
_0026_,2.16
_0159_,2.16
_0162_,2.16
_0491_,2.16
_0501_,2.16
_0668_,2.16
net105,2.16
net135,2.16
_0677_,2.06
net57,2.06
_0176_,2.04
_0633_,2.04
net53,2.04
net81,2.04
net85,2.04
_0007_,1.84
_0050_,1.84
net64,1.84
net66,1.84
net93,1.84
net109,1.84
_0678_,1.82
net78,1.82
net112,1.82
net117,1.82
net129,1.82
net134,1.82
_0466_,1.72
_0687_,1.72
_0055_,1.7
_0180_,1.7
_0428_,1.7
_0498_,1.7
_0543_,1.7
_0572_,1.7
_0582_,1.7
_0597_,1.7
_0231_,1.65
_0041_,1.6
_0463_,1.6
net68,1.545
_0403_,1.38
_0655_,1.38
net72,1.36
net90,1.36
net111,1.36
_0617_,1.14
_0563_,1.02
